35370047744601,36.4073584,-75.99492542,gmt,NCEM,Coinjock Creek at NC 168,coastal,us,nc,Currituck,0101000020E6100000FB36ABDBACFF52C01DE0EE5124344240
36183917646588,36.183914,-76.465886,gmt,NCEM,Racoon Creek at Church St near Hertford,coastal,us,nc,Perquimans,0101000020E6100000836A8313D11D53C066A3737E8A174240
36245547586637,36.2455,-75.86637,gmt,Currituck County,Walnut Island,coastal,us,nc,Currituck,0101000020E6100000130F289B72F752C08195438B6C1F4240
36358367594586,36.359208,-75.945951,gmt,Currituck County,Coinjock Boat Ramp,coastal,us,nc,Currituck,0101000020E6100000952710768AFC52C0153B1A87FA2D4240
36420847596740,36.422628,-75.965238,gmt,Currituck County,Bells Island Campground,coastal,us,nc,Currituck,0101000020E6100000D0B69A75C6FD52C0DC2F9FAC18364240
36497857608491,36.49785,-76.08491,gmt,Currituck County,Tulls Creek at Tulls Creek Road,coastal,us,nc,Currituck,0101000020E61000009D465A2A6F0553C024287E8CB93F4240
ALIN7,35.721526,-76.193379,gmt,NCEM,North Fork Alligator R. at NC 94 GOES,coastal,us,nc,Tyrrell,0101000020E6100000EC2E5052600C53C05A9BC6F65ADC4140
BLHN7,35.5372926,-76.6228111,gmt,NCEM,Pungo River at Belhaven,coastal,us,nc,Beaufort,0101000020E61000007E851623DC2753C000B10001C6C44140
COLN7,35.917504,-76.254359,gmt,NCEM,Scuppernong R. at Columbia Town Hall,coastal,us,nc,Tyrrell,0101000020E61000005E9CF86A471053C07FF964C570F54140
CTIN7,35.018312,-76.3144792,gmt,NCEM,Pamlico Sound at Cedar Island Ferry Terminal,coastal,us,nc,Carteret,0101000020E61000006CD15D6D201453C0EB8F300C58824140
EGHN7,35.50903944,-75.99686132,gmt,NCEM,Far Cr. at US 264 Engelhard,coastal,us,nc,Hyde,0101000020E610000008036C93CCFF52C04B96513428C14140
EMWN7,36.298522,-76.218561,gmt,NCEM,Pasquotank R. at Elizabeth City Mariners Wharf Park,coastal,us,nc,Pasquotank,0101000020E610000096CB46E7FC0D53C0799109F835264240
EWPN7,36.056351,-76.610571,gmt,NCEM,Chowan R. at Edenton Waterfront Park,coastal,us,nc,Chowan,0101000020E6100000B4386398132753C0670C738236074240
GRMN7,35.5739,-77.1758,gmt,NCEM,Tar River at SR 1565 near Grimesland,coastal,us,nc,Pitt,0101000020E6100000C1A8A44E404B53C05396218E75C94140
HBKN7,35.245075,-76.5912083,gmt,NCEM,Jones Bay at Hobucken,coastal,us,nc,Pamlico,0101000020E6100000EC67565BD62553C09A081B9E5E9F4140
JCKN7,34.75122948,-77.43457268,gmt,NCEM,New River at Old Bridge St. in Jacksonville,coastal,us,nc,Onslow,0101000020E61000007215EE09D05B53C00F32A04928604140
JYCN7,36.44696653,-76.29386426,gmt,NCEM,Joyce Creek at Old Swamp Rd (Camden Co),coastal,us,nc,Camden,0101000020E6100000738A0AACCE1253C0D860023336394240
MINN7,36.52707662,-75.98971658,gmt,NCEM,Currituck Sound at Mackay's Island NWF,coastal,us,nc,Currituck,0101000020E61000002DDA358457FF52C070B1263F77434240
OCAN7,35.1153731,-75.9873474,gmt,NCEM,Pamlico Sound at Ocracoke - NCCAT Campus,coastal,us,nc,Hyde,0101000020E61000009A3226B330FF52C048ABB58BC48E4140
ORLN7,35.0244328,-76.6919377,gmt,NCEM,Neuse R. at Oriental Town Pier,coastal,us,nc,Pamlico,0101000020E6100000A51710B5482C53C090792E9D20834140
PNGN7,35.571647,-76.501363,gmt,NCEM,Pungo Rvr @ NC 45 GOES,coastal,us,nc,Hyde,0101000020E61000002A1BD654162053C0A2ED98BA2BC94140
ROFN7,35.59554688,-75.47003097,gmt,NCEM,Rodanthe Ferry Terminal GOES,coastal,us,nc,Dare,0101000020E61000007510C7FC14DE52C0DC6A52E13ACC4140
Syn2,35.93,-76.61,gmt,NCEM Synthetic,Mackeys Creek at Mackeys Synthetic,coastal,us,nc,Washington,0101000020E6100000D7A3703D0A2753C0D7A3703D0AF74140
TRAN7,35.5631,-77.0861,gmt,NCEM,Tranters Cr. at Clarks Neck Rd. nr Washington,coastal,us,nc,Beaufort,0101000020E6100000E10B93A9824553C055302AA913C84140
VNCN7,35.21936375,-77.14910435,gmt,NCEM,Neuse River at NW Craven Middle School,coastal,us,nc,Craven,0101000020E61000003FBCF8EC8A4953C0C616821C149C4140
WDVN7,36.24043886,-76.32473603,gmt,NCEM,Little River at SR 1367 at Woodville,coastal,us,nc,Pasquotank,0101000020E6100000B42BA179C81453C09A3158B3C61E4240
